App,Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
clear-weather-android,im.r_c.android.clearweather.db.WeatherInfoDAO,0,8,4,0.0678,1,1,2,19,21,0,78,5,7,1,3,5,62963,0,0,0,4,0,0,0,1,4,4,59,34,139,56,2,0,55,6,0,11,0,0,1.14,2,0.86,3.43,9,3,3,5,32,24,0,0.0727,0,807,8
clear-weather-android,im.r_c.android.clearweather.fragment.CardFragment,0,11,6,0.0448,4,0,19,6,25,0,56,10,17,1,1,2,100802,0,0,0,4,0,0,0,1,6,7,134,90,261,115,19,0,128,6,0,0,0,0,1.22,3,1,6.78,15,4,1,2,39,61,0,0.0469,0,1786,11
clear-weather-android,im.r_c.android.clearweather.model.Consts,0,7,4,0.2,0,0,14,12,26,0,2,0,0,1,7,13,662,0,0,0,4,1,0,0,0,1,1,20,0,59,18,14,0,16,0,0,11,0,0,,,0,,,0,4,0,0,0,0,0.25,0,246,0
clear-weather-android,im.r_c.android.clearweather.model.County,0,11,4,0.0465,5,2,10,27,37,0,38,0,0,1,11,12,55939,0,1,0,4,0,0,0,5,1,1,86,12,251,57,10,0,82,10,0,8,3,0,2.07,12,0.73,2.4,14,0,8,8,18,36,0,0.0488,0,1464,31
clear-weather-android,im.r_c.android.clearweather.model.WeatherInfo,0,6,4,0.0252,18,1,21,50,71,0,8,1,1,1,5,8,12835,0,0,0,4,0,0,0,18,2,2,159,0,253,69,21,0,155,36,0,10,1,0,1,1,0.47,0.97,1,1,5,19,38,37,0,0.0258,0,1545,38
clear-weather-android,im.r_c.android.clearweather.receiver.AutoUpdateReceiver,0,1,4,0.4,1,0,0,32,32,1,2,1,12,2,1,4,45,0,0,1,4,0,0,0,1,5,6,10,1,7,6,0,0,6,1,0,28,0,0,1,1,2,1,1,1,1,0,2,1,0,0.6667,0,18,1
clear-weather-android,im.r_c.android.clearweather.service.FetchCountyListService,0,5,48,0.4486,3,1,3,250,253,0,44,3,3,5,2,2,30049,0,2,0,4,0,0,0,2,2,2,107,27,115,60,3,0,59,4,0,143,0,0,1.8,5,0.6,6.2,23,2,1,1,27,31,0,0.8136,0,679,9
clear-weather-android,im.r_c.android.clearweather.service.FetchWeatherInfoService,0,10,4,0.0635,3,0,1,242,243,1,37,8,12,4,3,4,31167,0,2,0,4,0,0,0,3,5,6,63,21,137,66,1,0,59,4,0,136,1,0,1.83,4,1.6,5.5,15,4,3,2,22,33,0,0.0678,0,828,11
clear-weather-android,im.r_c.android.clearweather.util.HttpUtils,0,2,4,0.0667,2,0,2,15,17,0,33,1,1,1,1,8,21093,1,0,0,4,0,0,0,1,2,2,60,18,112,47,2,0,56,3,0,11,0,0,1.5,3,1.67,4.33,18,1,1,1,19,26,0,0.0714,0,622,9
clear-weather-android,im.r_c.android.clearweather.util.HttpUtils.HttpCallbackListener,0,1,0,0,2,0,0,14,14,0,0,0,0,1,1,9,0,0,0,1,0,0,0,0,2,1,1,4,,10,5,0,0,4,0,0,11,0,0,,,0.5,,,0,1,0,2,0,0,0,0,23,0
clear-weather-android,im.r_c.android.clearweather.util.IOUtils,0,1,4,0.3077,1,0,0,13,13,0,8,0,0,1,1,3,866,0,0,1,4,0,0,0,1,1,1,13,2,24,20,0,0,9,1,0,11,0,0,2,2,2,4,4,0,1,0,3,4,0,0.4444,0,103,2
clear-weather-android,im.r_c.android.clearweather.util.L,0,6,4,0.0976,6,0,7,18,25,0,12,0,0,1,6,8,5727,0,0,0,4,0,0,0,1,1,1,41,5,92,30,7,0,37,6,0,11,0,0,1.83,2,1.83,1.83,2,0,4,0,11,11,0,0.1081,0,451,11
